Date,Open,High,Low,Close,Volume,Adj Close
2008-03-14,56.99,57.23,55.40,56.26,1427300,51.24
2008-03-13,56.33,56.58,55.01,56.47,980300,51.43
2008-03-12,57.29,57.51,56.33,56.59,1433300,51.54
2008-03-11,57.12,57.59,56.04,57.10,1629600,52.00
2008-03-10,57.51,57.51,56.36,56.40,1072800,51.37
2008-03-07,57.78,58.36,57.15,57.57,1189700,52.43
2008-03-06,58.53,58.85,58.14,58.32,1051500,53.12
2008-03-05,58.04,59.00,57.78,58.70,1240200,53.46
2008-03-04,57.78,57.91,56.83,57.66,1086300,52.51
2008-03-03,57.45,58.30,57.00,58.10,1267300,52.91
2008-02-29,58.61,59.14,58.29,58.90,1721900,53.64
2008-02-28,58.87,59.51,58.64,59.13,781000,53.85
2008-02-27,59.96,60.65,59.36,59.52,941800,54.21
2008-02-26,59.75,60.41,59.70,60.22,1191600,54.85
2008-02-25,59.67,60.09,59.23,60.04,1258900,54.68
2008-02-22,57.96,59.58,57.96,59.47,1299200,54.16
2008-02-21,59.38,59.56,57.71,57.77,1168500,52.61
2008-02-20,59.64,59.74,58.68,59.29,1038700,54.00
2008-02-19,60.50,60.66,59.79,60.14,820700,54.77
2008-02-15,59.91,60.30,59.46,59.93,922800,54.58
2008-02-14,61.47,62.04,60.10,60.26,1287900,54.88
2008-02-13,61.65,62.00,60.84,61.75,1662100,56.24
2008-02-12,61.07,61.77,60.86,61.49,1633800,56.00
2008-02-11,60.33,60.94,59.97,60.83,1047500,55.40
2008-02-08,60.23,60.92,59.66,60.23,1579100,54.85
2008-02-07,61.89,62.14,60.38,60.67,1926500,55.26
2008-02-06,63.06,63.26,61.88,62.12,1293400,56.43
2008-02-05,63.22,63.66,62.10,62.33,1493400,56.62
2008-02-04,64.10,64.51,63.35,64.23,1536000,58.35
2008-02-01,62.80,64.49,62.65,64.34,1336100,58.45
2008-01-31,61.27,63.62,60.93,63.13,1681100,57.35
2008-01-30,62.96,63.42,62.10,62.30,2085400,56.59
2008-01-29,62.59,63.40,62.37,63.35,2911500,57.55
2008-01-28,61.84,62.36,60.79,62.31,2179900,56.60
2008-01-25,62.41,63.23,61.35,61.88,2516600,56.21
2008-01-24,58.27,63.19,58.25,61.50,3831900,55.87
2008-01-23,56.29,58.75,55.81,58.48,2515700,53.12
2008-01-22,53.24,60.00,53.24,58.06,2700300,52.74
2008-01-18,61.70,62.60,60.75,61.18,1631500,55.58
2008-01-17,63.41,63.77,61.08,61.19,1655100,55.59
2008-01-16,64.51,64.97,63.19,63.48,1666800,57.67
2008-01-15,66.05,67.02,64.28,64.75,1384400,58.82
2008-01-14,66.81,67.67,66.47,66.73,971900,60.62
2008-01-11,67.72,68.04,66.11,66.42,1147600,60.34
2008-01-10,67.68,69.10,67.31,68.48,847600,62.21
2008-01-09,66.03,68.08,65.75,68.08,1342900,61.84
2008-01-08,68.63,69.40,66.06,66.33,1257800,60.25
2008-01-07,69.96,70.05,67.90,68.42,873000,62.15
2008-01-04,71.08,71.27,69.67,69.67,711300,63.29
2008-01-03,70.69,71.86,70.69,71.62,679400,65.06
2008-01-02,71.80,72.41,70.36,70.67,880400,64.20
